week_of_date,sales_period,sales_quarter,sales_year
2018-12-30,1,Q1,2019
2019-01-06,1,Q1,2019
2019-01-13,1,Q1,2019
2019-01-20,1,Q1,2019
2019-01-27,2,Q1,2019
2019-02-03,2,Q1,2019
2019-02-10,2,Q1,2019
2019-02-17,2,Q1,2019
2019-02-24,3,Q1,2019
2019-03-03,3,Q1,2019
2019-03-10,3,Q1,2019
2019-03-17,3,Q1,2019
2019-03-24,4,Q1,2019
2019-03-31,4,Q2,2019
2019-04-07,4,Q2,2019
2019-04-14,4,Q2,2019
2019-04-21,5,Q2,2019
2019-04-28,5,Q2,2019
2019-05-05,5,Q2,2019
2019-05-12,5,Q2,2019
2019-05-19,6,Q2,2019
2019-05-26,6,Q2,2019
2019-06-02,6,Q2,2019
2019-06-09,6,Q2,2019
2019-06-16,7,Q2,2019
2019-06-23,7,Q2,2019
2019-06-30,7,Q3,2019
2019-07-07,7,Q3,2019
2019-07-14,8,Q3,2019
2019-07-21,8,Q3,2019
2019-07-28,8,Q3,2019
2019-08-04,8,Q3,2019
2019-08-11,9,Q3,2019
2019-08-18,9,Q3,2019
2019-08-25,9,Q3,2019
2019-09-01,9,Q3,2019
2019-09-08,10,Q3,2019
2019-09-15,10,Q3,2019
2019-09-22,10,Q3,2019
2019-09-29,10,Q4,2019
2019-10-06,11,Q4,2019
2019-10-13,11,Q4,2019
2019-10-20,11,Q4,2019
2019-10-27,11,Q4,2019
2019-11-03,12,Q4,2019
2019-11-10,12,Q4,2019
2019-11-17,12,Q4,2019
2019-11-24,12,Q4,2019
2019-12-01,13,Q4,2019
2019-12-08,13,Q4,2019
2019-12-15,13,Q4,2019
2019-12-22,13,Q4,2019
2019-12-29,1,Q1,2020
2020-01-05,1,Q1,2020
2020-01-12,1,Q1,2020
2020-01-19,1,Q1,2020
2020-01-26,2,Q1,2020
2020-02-02,2,Q1,2020
2020-02-09,2,Q1,2020
2020-02-16,2,Q1,2020
2020-02-23,3,Q1,2020
2020-03-01,3,Q1,2020
2020-03-08,3,Q1,2020
2020-03-15,3,Q1,2020
2020-03-22,4,Q1,2020
2020-03-29,4,Q2,2020
2020-04-05,4,Q2,2020
2020-04-12,4,Q2,2020
2020-04-19,5,Q2,2020
2020-04-26,5,Q2,2020
2020-05-03,5,Q2,2020
2020-05-10,5,Q2,2020
2020-05-17,6,Q2,2020
2020-05-24,6,Q2,2020
2020-05-31,6,Q2,2020
2020-06-07,6,Q2,2020
2020-06-14,7,Q2,2020
2020-06-21,7,Q2,2020
2020-06-28,7,Q3,2020
2020-07-05,7,Q3,2020
2020-07-12,8,Q3,2020
2020-07-19,8,Q3,2020
2020-07-26,8,Q3,2020
2020-08-02,8,Q3,2020
2020-08-09,9,Q3,2020
2020-08-16,9,Q3,2020
2020-08-23,9,Q3,2020
2020-08-30,9,Q3,2020
2020-09-06,10,Q3,2020
2020-09-13,10,Q3,2020
2020-09-20,10,Q3,2020
2020-09-27,10,Q4,2020
2020-10-04,11,Q4,2020
2020-10-11,11,Q4,2020
2020-10-18,11,Q4,2020
2020-10-25,11,Q4,2020
2020-11-01,12,Q4,2020
2020-11-08,12,Q4,2020
2020-11-15,12,Q4,2020
2020-11-22,12,Q4,2020
2020-11-29,13,Q4,2020
2020-12-06,13,Q4,2020
2020-12-13,13,Q4,2020
2020-12-20,13,Q4,2020
2020-12-27,1,Q1,2021
2021-01-03,1,Q1,2021
2021-01-10,1,Q1,2021
2021-01-17,1,Q1,2021
2021-01-24,2,Q1,2021
2021-01-31,2,Q1,2021
2021-02-07,2,Q1,2021
2021-02-14,2,Q1,2021
2021-02-21,3,Q1,2021
2021-02-28,3,Q1,2021
2021-03-07,3,Q1,2021
2021-03-14,3,Q1,2021
2021-03-21,4,Q1,2021
2021-03-28,4,Q2,2021
2021-04-04,4,Q2,2021
2021-04-11,4,Q2,2021
2021-04-18,5,Q2,2021
2021-04-25,5,Q2,2021
2021-05-02,5,Q2,2021
2021-05-09,5,Q2,2021
2021-05-16,6,Q2,2021
2021-05-23,6,Q2,2021
2021-05-30,6,Q2,2021
2021-06-06,6,Q2,2021
2021-06-13,7,Q2,2021
2021-06-20,7,Q2,2021
2021-06-27,7,Q3,2021
2021-07-04,7,Q3,2021
2021-07-11,8,Q3,2021
2021-07-18,8,Q3,2021
2021-07-25,8,Q3,2021
2021-08-01,8,Q3,2021
2021-08-08,9,Q3,2021
2021-08-15,9,Q3,2021
2021-08-22,9,Q3,2021
2021-08-29,9,Q3,2021
2021-09-05,10,Q3,2021
2021-09-12,10,Q3,2021
2021-09-19,10,Q3,2021
2021-09-26,10,Q4,2021
2021-10-03,11,Q4,2021
2021-10-10,11,Q4,2021
2021-10-17,11,Q4,2021
2021-10-24,11,Q4,2021
2021-10-31,12,Q4,2021
2021-11-07,12,Q4,2021
2021-11-14,12,Q4,2021
2021-11-21,12,Q4,2021
2021-11-28,13,Q4,2021
2021-12-05,13,Q4,2021
2021-12-12,13,Q4,2021
2021-12-19,13,Q4,2021
